,close_price,days_holding,dt_close,dt_open,flag_open,id_instrument,long_short,margin_capital,multiplier,open_price,premium,realized_pnl,unit
16,0.0014,35.0,2016-02-24,2016-01-20,0.0,50etf_1603_c_2.5,-1.0,248255.00000000003,10000.0,0.019,32870.0,30440.9416,173.0
17,0.0004,35.0,2016-02-24,2016-01-20,0.0,50etf_1603_c_2.9,-1.0,808542.0,10000.0,0.0058,32886.0,30610.9692,567.0
18,0.0053,35.0,2016-02-24,2016-01-20,0.0,50etf_1603_c_2.3,-1.0,112176.0,10000.0,0.043,32679.999999999996,28644.658399999997,76.0
19,0.0076,35.0,2016-02-24,2016-01-20,0.0,50etf_1603_c_2.25,-1.0,94311.0,10000.0,0.0518,32634.0,27838.5156,63.0
20,0.251,27.0,2016-03-23,2016-02-25,0.0,50etf_1606_c_1.95,1.0,0.0,10000.0,0.0984,22632.0,35081.927599999995,23.0
21,0.0407,27.0,2016-03-23,2016-02-25,0.0,50etf_1606_c_2.45,1.0,0.0,10000.0,0.0123,22632.0,52236.496,184.0
22,0.2855,27.0,2016-03-23,2016-02-25,0.0,50etf_1606_c_1.9,1.0,0.0,10000.0,0.1177,22363.0,31866.678399999993,19.0
23,0.1845,27.0,2016-03-23,2016-02-25,0.0,50etf_1609_c_2.1,1.0,0.0,10000.0,0.0926,22224.0,22042.6992,24.0
24,0.1728,27.0,2016-03-23,2016-02-25,0.0,50etf_1609_c_2.15,1.0,0.0,10000.0,0.0813,21951.0,24691.278600000005,27.0
25,0.1936,27.0,2016-03-23,2016-02-25,0.0,50etf_1604_c_2.0,-1.0,194781.4,10000.0,0.0526,22618.0,-60651.1732,43.0
26,0.2325,27.0,2016-03-23,2016-02-25,0.0,50etf_1604_c_1.95,-1.0,157945.6,10000.0,0.0704,22528.0,-51891.385599999994,32.0
27,0.1536,27.0,2016-03-23,2016-02-25,0.0,50etf_1604_c_2.05,-1.0,236766.59999999995,10000.0,0.0392,22344.0,-65229.97919999999,57.0
